epoch,actor_loss,critic_loss,total_loss,policy_entropy
0,2.1885132789611816,1.0202513933181763,3.2087645530700684,2.121455192565918
1,2.1798300743103027,0.8451132774353027,3.0249433517456055,2.0131676197052
2,2.1708104610443115,0.9313569068908691,3.1021673679351807,1.9473789930343628
3,2.148996353149414,0.3994256556034088,2.54842209815979,1.8799465894699097
4,2.164055824279785,0.5039972066879272,2.668053150177002,1.8493461608886719
5,2.160745620727539,0.5581526756286621,2.718898296356201,1.8629610538482666
6,2.1133241653442383,0.4074893295764923,2.520813465118408,1.803361177444458
7,2.100979804992676,0.5166596174240112,2.6176395416259766,1.6716887950897217
8,2.130038022994995,0.442016065120697,2.572054147720337,1.8077046871185303
9,2.126718759536743,0.2960609495639801,2.4227797985076904,1.6026606559753418
