epoch,actor_loss,critic_loss,total_loss,policy_entropy
0,2.200549602508545,1.0925097465515137,3.2930593490600586,2.1342921257019043
1,2.1678996086120605,0.8807250261306763,3.0486245155334473,1.9453017711639404
2,2.1449923515319824,0.7021232843399048,2.8471155166625977,1.7856214046478271
3,2.1438474655151367,0.7139714956283569,2.857819080352783,1.7530401945114136
4,2.14607572555542,0.7992286682128906,2.9453043937683105,1.668644666671753
5,2.1106832027435303,0.7138388156890869,2.824522018432617,1.5857274532318115
6,2.126462697982788,0.58659827709198,2.7130608558654785,1.4695460796356201
7,2.1140592098236084,0.7036431431770325,2.817702293395996,1.5397683382034302
8,2.0854811668395996,0.6091797351837158,2.6946609020233154,1.307058334350586
9,2.0697813034057617,0.27634674310684204,2.346127986907959,1.3684842586517334
10,2.081167697906494,0.3552533984184265,2.4364211559295654,1.42458975315094
11,2.0359020233154297,0.32798150181770325,2.3638834953308105,1.2705923318862915
12,2.0119223594665527,0.5366649031639099,2.5485873222351074,1.1908594369888306
13,2.014369487762451,0.3948420584201813,2.4092116355895996,1.2206878662109375
14,2.067695140838623,0.3523227870464325,2.420017957687378,1.2712225914001465
15,2.0518784523010254,0.36323755979537964,2.41511607170105,1.1539618968963623
16,2.0823609828948975,0.5783653259277344,2.660726308822632,1.049018144607544
17,2.008451461791992,0.410431832075119,2.4188833236694336,0.9835984706878662
18,2.020251750946045,0.4177042841911316,2.4379560947418213,0.9560055732727051
19,2.0403244495391846,0.5071074962615967,2.5474319458007812,0.9413792490959167
